loss,pineapple_AP,snake_fruit_AP,dragon_fruit_AP,banana_AP,mAP
597.2395935058594,0.0,0.0,0.0,0.0,0.0
596.7058471679687,0.0,0.0,0.0,0.0,0.0
588.7817932128906,0.0,0.0,0.0,0.0,0.0
384.99842071533203,0.0,0.0,0.0,0.0,0.0
222.65309143066406,0.0,0.0,0.0,0.0,0.0
184.15614624023436,0.0,0.0,0.0,0.0,0.0
175.36145935058593,0.0,0.0,0.0,0.0,0.0
157.9967254638672,0.0,0.0,0.0,0.0,0.0
153.88121643066407,0.0,0.0,0.0,0.0,0.0
153.86765899658204,0.0,0.0,0.0,0.0,0.0
148.3106575012207,0.0,0.0,0.0,0.0,0.0
149.5283348083496,0.0,0.0,0.0,0.0,0.0
150.56732406616212,0.0,0.0,0.0,0.0,0.0
136.7284729003906,0.0,0.0,0.0,0.0,0.0
132.08458099365234,0.0,0.0,0.0,0.0,0.0
135.76775588989258,0.0,0.0,0.0,0.0,0.0
131.62216567993164,0.0,0.0,0.0,0.0,0.0
133.74827270507814,0.0,0.0,0.0,0.0,0.0
130.71748962402344,0.0,0.0,0.0,0.0,0.0
130.42671737670898,0.0,0.0,0.0,0.0,0.0
122.52914352416992,0.0,0.0,0.0,0.0,0.0
121.93456726074218,0.0,0.0,0.0,0.0,0.0
122.60824737548828,0.0,0.0,0.0,0.0,0.0
119.29227066040039,0.0,0.0,0.0,0.0,0.0
114.81597213745117,0.0,0.0,0.0,0.0,0.0
119.11546249389649,0.0,0.0,0.0,0.0,0.0
129.7103645324707,0.0,0.0,0.0,0.0,0.0
115.99317855834961,0.0,0.0,0.0,0.0,0.0
108.83045654296875,0.0,0.0,0.0,0.0,0.0
108.8194206237793,0.0,0.0,0.0,0.0,0.0
112.70473251342773,0.0,0.0,0.0,0.0,0.0
105.18174285888672,0.0,0.0,0.0,0.0,0.0
102.1078109741211,0.0,0.0,0.0,0.0,0.0
101.58474426269531,0.0,0.0,0.0,0.0,0.0
110.35184707641602,0.0,0.0,0.0,0.0,0.0
102.14344024658203,0.0,0.0,0.0,0.0,0.0
103.8568962097168,0.0,0.0,0.0,0.0,0.0
98.54052124023437,0.0,0.0,0.0,0.0,0.0
97.90667419433593,0.0,0.0,0.0,0.0,0.0
90.07661437988281,0.0,0.0,0.0,0.0,0.0
88.93147888183594,0.0,0.0,0.0,0.0,0.0
86.00503807067871,0.0,0.0,0.0,0.0,0.0
84.07543106079102,0.0,0.0,0.0,0.0,0.0
84.37562789916993,0.0,0.0,0.0,0.0,0.0
88.3910415649414,0.0,0.0,0.0,0.0,0.0
86.42544708251953,0.0,0.0,0.0,0.0,0.0
96.08950424194336,0.0,0.0,0.0,0.0,0.0
95.79157943725586,0.0,0.0,0.0,0.0,0.0
96.44254684448242,0.0,0.0,0.0,0.0,0.0
91.76251754760742,0.0,0.0,0.0,0.0,0.0
85.67734222412109,0.0,0.0,0.0,0.0,0.0
83.77556686401367,0.0,0.0,0.0,0.0,0.0
82.71686782836915,0.0,0.0,0.0,0.0,0.0
81.57289352416993,0.0,0.0,0.0,0.0,0.0
