loss,acc,val_loss,val_acc
2.3008837699890137,9.969999999999999,2.30264102658139,10.0
2.3048250675201416,9.954,2.3026299084289166,10.0
2.304473400115967,9.892,2.3026212619829782,10.0
2.3033018112182617,10.0,2.302613294577297,10.0
2.30106782913208,9.968,2.3026062235047546,10.0
2.3016951084136963,10.038,2.3025999974600877,10.0
2.305637836456299,9.952,2.302595364896557,10.0
2.301067352294922,10.172,2.302594806574568,10.0
2.303788661956787,9.873999999999999,2.3025943840606304,10.0
2.3032209873199463,9.958,2.302593877043905,10.0
2.3001227378845215,9.959999999999999,2.302593330793743,10.0
2.303499221801758,9.962,2.3025928962079782,10.0
2.304971218109131,9.664,2.302592494819738,10.0
2.303809881210327,9.948,2.3025924736940406,10.0
2.302140474319458,9.888,2.3025923982451233,10.0
2.3041579723358154,10.113999999999999,2.30259238315534,10.0
2.3031044006347656,10.074,2.302592352975773,10.0
2.305209159851074,10.126,2.302592322796206,10.0
2.3028550148010254,9.968,2.302592265455029,10.0
2.302565097808838,9.888,2.3025921869881545,10.0
2.3046681880950928,10.084,2.3025922262215914,10.0
2.300361156463623,10.072000000000001,2.3025922473472886,10.0
2.304940700531006,9.866,2.3025922171677213,10.0
2.302295446395874,10.134,2.3025921779342844,10.0
2.302926540374756,9.9,2.3025921779342844,10.0
2.3041887283325195,10.014000000000001,2.3025921688804143,10.0
2.3020293712615967,10.034,2.302592171898371,10.0
2.303680896759033,10.03,2.3025921869881545,10.0
2.306060314178467,9.918000000000001,2.3025921960420246,10.0
2.3034167289733887,9.878,2.302592202077938,10.0
2.3010056018829346,10.014000000000001,2.302592180952241,10.0
2.3023180961608887,9.99,2.302592190006111,10.0
2.2999284267425537,9.866,2.3025921869881545,10.0
2.3031346797943115,9.864,2.302592174916328,10.0
2.302733898162842,10.082,2.3025921628445007,10.0
2.301208019256592,10.022,2.3025921296469773,10.0
2.305443525314331,9.946000000000002,2.302592135682891,10.0
2.3048324584960938,9.754,2.302592159826544,10.0
2.3026840686798096,9.966,2.302592174916328,10.0
2.302048921585083,9.856,2.302592202077938,10.0
2.302777051925659,10.05,2.3025922050958947,10.0
2.3007168769836426,10.07,2.3025922111318082,10.0
2.3052568435668945,10.0,2.3025922262215914,10.0
2.299140453338623,9.950000000000001,2.3025922352754615,10.0
2.301941394805908,9.93,2.3025922201856783,10.0
2.3015835285186768,9.982000000000001,2.3025922352754615,10.0
