loss,acc,val_loss,val_acc
2.3032517433166504,10.0,2.3025929927825928,10.0
2.3031249046325684,10.0,2.30258128009265,10.0
2.3028016090393066,10.0,2.30257736882077,10.0
2.3033995628356934,10.0,2.302575443364397,10.0
2.3031015396118164,10.0,2.3025766445111624,10.0
2.302121162414551,10.0,2.302578835547725,10.0
2.3033509254455566,10.0,2.3025800125508367,10.0
2.302551746368408,10.0,2.3025799069223525,10.0
2.301619052886963,10.0,2.3025800970536245,10.0
2.302971363067627,10.0,2.3025799491737464,10.0
2.302229166030884,10.0,2.3025802539873728,10.0
2.301926612854004,10.0,2.302580232861676,10.0
2.3031270503997803,10.0,2.302580260023286,10.0
2.3026833534240723,10.0,2.302580410921121,10.0
