loss,acc,val_loss,val_acc
2.30143404006958,10.094,2.3028557210028926,10.0
2.301975727081299,10.14,2.3028530470932584,10.0
2.302149534225464,9.956,2.302850300752664,10.0
2.303459644317627,9.902,2.302847554412069,10.0
2.303870677947998,9.876,2.3028449770770494,10.0
2.301909923553467,10.098,2.302842321275156,10.0
2.3061325550079346,10.02,2.3028396805630456,10.0
2.30277943611145,9.834,2.3028393817853323,10.0
2.3004965782165527,9.956,2.3028391131871864,10.0
2.3063178062438965,9.878,2.3028388445890404,10.0
2.2992093563079834,10.09,2.302838678601422,10.0
2.2993602752685547,10.11,2.3028383707698388,10.0
2.3016741275787354,9.984,2.302838120279433,10.0
2.3043980598449707,9.91,2.3028381051896494,10.0
2.3051464557647705,9.98,2.3028380629382554,10.0
2.3018646240234375,9.838,2.302838029740732,10.0
2.3046202659606934,10.07,2.3028380569023423,10.0
2.303384304046631,10.038,2.3028379935252516,10.0
2.3021092414855957,9.802,2.3028379573097713,10.0
2.30238938331604,9.828000000000001,2.3028379512738577,10.0
2.3046510219573975,9.984,2.3028379573097713,10.0
2.3041062355041504,10.118,2.302837960327728,10.0
2.3028106689453125,9.986,2.3028379331661175,10.0
2.3074517250061035,9.950000000000001,2.3028379180763343,10.0
2.304549217224121,9.969999999999999,2.302837948255901,10.0
2.306441068649292,9.922,2.302837948255901,10.0
2.300502061843872,9.89,2.3028379542918147,10.0
2.30275297164917,9.998,2.3028379512738577,10.0
2.3048596382141113,9.74,2.3028379452379446,10.0
2.3005218505859375,9.958,2.302837948255901,10.0
2.300419330596924,10.046,2.3028379452379446,10.0
2.300968647003174,9.976,2.3028379422199876,10.0
2.306411027908325,10.098,2.3028379512738577,10.0
2.307093381881714,9.959999999999999,2.302837948255901,10.0
