loss,acc,val_loss,val_acc
2.3024649620056152,10.0,2.302685659142989,10.0
2.301731586456299,10.0,2.3026831119875366,10.0
2.303495407104492,10.0,2.30268054068843,10.0
2.3037962913513184,10.0,2.3026780297484577,10.0
2.3027422428131104,10.0,2.3026756455626667,10.0
2.303699493408203,10.0,2.30267334889762,10.0
2.302057981491089,10.0,2.3026710492146165,10.0
2.302677631378174,10.0,2.3026708711551716,10.0
2.3034262657165527,10.0,2.3026706598982027,10.0
2.3038406372070312,10.0,2.3026704727848872,10.0
2.3024206161499023,10.0,2.302670216258568,10.0
2.3025102615356445,10.0,2.3026700351811664,10.0
2.3021252155303955,10.0,2.302669787708717,10.0
2.303928852081299,10.0,2.3026698239241976,10.0
2.3028981685638428,10.0,2.302669769600977,10.0
2.303372859954834,10.0,2.302669751493237,10.0
2.304370164871216,10.0,2.302669778654847,10.0
2.3039727210998535,10.0,2.3026697726189336,10.0
2.3011281490325928,10.0,2.3026697545111934,10.0
2.3037073612213135,10.0,2.302669760547107,10.0
2.3051719665527344,10.0,2.302669769600977,10.0
2.299757480621338,10.0,2.30266975752915,10.0
2.302705764770508,10.0,2.30266976658302,10.0
2.301366090774536,10.0,2.30266974847528,10.0
2.30165696144104,10.0,2.3026697454573233,10.0
2.3048954010009766,10.0,2.30266974847528,10.0
2.304089307785034,10.0,2.30266974847528,10.0
2.301297664642334,10.0,2.3026697545111934,10.0
2.301678419113159,10.0,2.30266977563689,10.0
2.3015971183776855,10.0,2.30266975752915,10.0
2.302464008331299,10.0,2.30266975752915,10.0
2.3032784461975098,10.0,2.302669751493237,10.0
2.304983377456665,10.0,2.302669751493237,10.0
2.303683280944824,10.0,2.3026697333854966,10.0
2.3005611896514893,10.0,2.3026697333854966,10.0
2.3030333518981934,10.0,2.3026697394214097,10.0
2.3042919635772705,10.0,2.30266974847528,10.0
2.3047690391540527,10.0,2.3026697454573233,10.0
2.3041563034057617,10.0,2.3026697333854966,10.0
2.3015875816345215,10.0,2.3026697213136695,10.0
2.304069995880127,10.0,2.3026697243316265,10.0
2.3036811351776123,10.0,2.3026697213136695,10.0
2.3020241260528564,10.0,2.30266974847528,10.0
2.3019802570343018,10.0,2.30266975752915,10.0
2.3017914295196533,10.0,2.30266974847528,10.0
2.3025436401367188,10.0,2.302669760547107,10.0
2.303250551223755,10.0,2.302669751493237,10.0
2.301560163497925,10.0,2.302669751493237,10.0
2.3021979331970215,10.0,2.3026697454573233,10.0
2.3055243492126465,10.0,2.302669736403453,10.0
